feedback,category
The professors explain the concepts clearly and are very supportive.,Academics
The hostel rooms are not clean and the food is very bad.,Facilities
The admission process was quick and the staff was cooperative.,Administration
The classrooms are spacious and well ventilated.,Facilities
Course content is updated and relevant to current industry trends.,Academics
There are frequent power cuts in the hostel.,Facilities
The examination timetable was released very late.,Administration
The library has a good collection of books and resources.,Academics
Washrooms are not maintained properly.,Facilities
It was difficult to get official documents signed on time.,Administration
